index,date,time,province,confirmed,released,deceased,month
187,2020-01-31,16,Seoul,4,0,0,january
188,2020-01-31,16,Busan,0,0,0,january
189,2020-01-31,16,Daegu,0,0,0,january
190,2020-01-31,16,Incheon,1,0,0,january
191,2020-01-31,16,Gwangju,0,0,0,january
192,2020-01-31,16,Daejeon,0,0,0,january
193,2020-01-31,16,Ulsan,0,0,0,january
194,2020-01-31,16,Sejong,0,0,0,january
195,2020-01-31,16,Gyeonggi-do,5,0,0,january
196,2020-01-31,16,Gangwon-do,0,0,0,january
197,2020-01-31,16,Chungcheongbuk-do,0,0,0,january
198,2020-01-31,16,Chungcheongnam-do,0,0,0,january
199,2020-01-31,16,Jeollabuk-do,1,0,0,january
200,2020-01-31,16,Jeollanam-do,0,0,0,january
201,2020-01-31,16,Gyeongsangbuk-do,0,0,0,january
202,2020-01-31,16,Gyeongsangnam-do,0,0,0,january
203,2020-01-31,16,Jeju-do,0,0,0,january
680,2020-02-29,16,Seoul,73,9,0,february
681,2020-02-29,16,Busan,80,0,0,february
682,2020-02-29,16,Daegu,2236,3,10,february
683,2020-02-29,16,Incheon,5,1,0,february
684,2020-02-29,16,Gwangju,9,2,0,february
685,2020-02-29,16,Daejeon,13,0,0,february
686,2020-02-29,16,Ulsan,17,0,0,february
687,2020-02-29,16,Sejong,1,0,0,february
688,2020-02-29,16,Gyeonggi-do,77,8,1,february
689,2020-02-29,16,Gangwon-do,7,0,0,february
690,2020-02-29,16,Chungcheongbuk-do,10,0,0,february
691,2020-02-29,16,Chungcheongnam-do,55,0,0,february
692,2020-02-29,16,Jeollabuk-do,4,1,0,february
693,2020-02-29,16,Jeollanam-do,3,0,0,february
694,2020-02-29,16,Gyeongsangbuk-do,488,1,6,february
695,2020-02-29,16,Gyeongsangnam-do,59,1,0,february
696,2020-02-29,16,Jeju-do,2,0,0,february
1207,2020-03-31,0,Seoul,373,107,0,march
1208,2020-03-31,0,Busan,39,87,3,march
1209,2020-03-31,0,Daegu,4448,3946,114,march
1210,2020-03-31,0,Incheon,58,16,0,march
1211,2020-03-31,0,Gwangju,11,14,0,march
1212,2020-03-31,0,Daejeon,23,18,0,march
1213,2020-03-31,0,Ulsan,22,19,0,march
1214,2020-03-31,0,Sejong,45,12,0,march
1215,2020-03-31,0,Gyeonggi-do,394,166,6,march
1216,2020-03-31,0,Gangwon-do,29,23,1,march
1217,2020-03-31,0,Chungcheongbuk-do,34,22,0,march
1218,2020-03-31,0,Chungcheongnam-do,73,90,0,march
1219,2020-03-31,0,Jeollabuk-do,8,7,0,march
1220,2020-03-31,0,Jeollanam-do,6,3,0,march
1221,2020-03-31,0,Gyeongsangbuk-do,812,808,38,march
1222,2020-03-31,0,Gyeongsangnam-do,37,67,0,march
1223,2020-03-31,0,Jeju-do,7,3,0,march
1717,2020-04-30,0,Seoul,183,453,2,april
1718,2020-04-30,0,Busan,18,116,3,april
1719,2020-04-30,0,Daegu,168,6144,172,april
1720,2020-04-30,0,Incheon,29,68,0,april
1721,2020-04-30,0,Gwangju,10,27,0,april
1722,2020-04-30,0,Daejeon,4,35,0,april
1723,2020-04-30,0,Ulsan,4,37,1,april
1724,2020-04-30,0,Sejong,0,38,0,april
1725,2020-04-30,0,Gyeonggi-do,200,486,15,april
1726,2020-04-30,0,Gangwon-do,17,40,2,april
1727,2020-04-30,0,Chungcheongbuk-do,1,41,0,april
1728,2020-04-30,0,Chungcheongnam-do,15,127,0,april
1729,2020-04-30,0,Jeollabuk-do,5,11,0,april
1730,2020-04-30,0,Jeollanam-do,6,11,0,april
1731,2020-04-30,0,Gyeongsangbuk-do,65,1147,52,april
1732,2020-04-30,0,Gyeongsangnam-do,21,97,0,april
1733,2020-04-30,0,Jeju-do,4,8,0,april
2244,2020-05-31,0,Seoul,228,627,4,may
2245,2020-05-31,0,Busan,10,138,3,may
2246,2020-05-31,0,Daegu,31,6607,185,may
2247,2020-05-31,0,Incheon,113,94,0,may
2248,2020-05-31,0,Gwangju,2,30,0,may
